trap_name,start_date,end_date,latitude,longitude,AMT,trapping_effort,species,females,year,month,week,TM,TX,TN,HRM,PPT,mwime,TM7,TM14,TM21,TX7,TX14,TX21,TN7,TN14,TN21,HRM7,HRM14,HRM21,PPT7,PPT14,PPT21,mwi7,mwi14,mwi21,l0gdd,l7gdd,l14gdd,l21gdd,trap_type,land_use
A_SP_DA_1,2020-06-29T00:00:00Z,2020-06-30T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,6,26,23.75,28.15,19.9,78,0,0.6909090909090908,22.7,21.46428571428572,20.75714285714286,27.35714285714286,26.37857142857143,26.08095238095238,17.42857142857143,15.81428571428571,14.83333333333333,82.71428571428571,78.5,75.76190476190476,0,15.9,22,0.7766233766233767,0.5961558441558442,0.5424069264069264,28.05,101,165.6,225.9,BG sentinel,urban_area
A_SP_DA_1,2020-06-30T00:00:00Z,2020-07-01T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,24.05,28.8,20.85,81.5,0.6,0.7545454545454545,22.88571428571429,21.81428571428572,21.02380952380953,27.4,26.79285714285714,26.29523809523809,18.14285714285715,16.30714285714286,15.33809523809524,83.14285714285714,78.28571428571429,76.80952380952381,0,12.8,22,0.7844155844155843,0.6053506493506494,0.5670476190476191,29.65,101.25,169.5,233.75,BG sentinel,urban_area
A_SP_DA_1,2020-07-01T00:00:00Z,2020-07-02T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,27,23.85,29.35,19.6,80.5,5.5,0.7363636363636363,23.2,22.35,21.31904761904762,27.81428571428571,27.25,26.5,18.75714285714286,16.90714285714286,15.78571428571429,83.14285714285714,78.21428571428571,77.57142857142857,0.6,1.4,20.7,0.7844155844155843,0.6402857142857143,0.5896277056277056,28.95,104.55,176.5,241.95,BG sentinel,urban_area
A_SP_DA_1,2020-07-02T00:00:00Z,2020-07-03T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,27,22.35,27.7,17.7,68,8.9,0.509090909090909,23.42857142857143,22.81428571428572,21.55238095238095,28.34285714285715,27.79285714285714,26.75714285714286,19,17.28571428571428,16.00952380952381,81.42857142857143,77.42857142857143,77.14285714285714,5.5,5.600000000000001,24.6,0.7532467532467532,0.665896103896104,0.5945800865800867,25.4,106.8,182.55,247.45,BG sentinel,urban_area
A_SP_DA_1,2020-07-03T00:00:00Z,2020-07-04T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,27,22.15,28.3,17.05,58.5,4,0.3363636363636363,23.27142857142857,23.00714285714286,21.51904761904762,28.05714285714286,27.98571428571429,26.61428571428571,18.88571428571429,17.64285714285714,16.11904761904762,78,76,76.66666666666667,9.5,9.5,28.6,0.6909090909090908,0.65309090909090906,0.585922077922078,25.2,107.3,186.8,250.3,BG sentinel,urban_area
A_SP_DA_1,2020-07-04T00:00:00Z,2020-07-05T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,27,23.65,31.15,15.9,62,0,0.3999999999999999,23.3,23.13571428571429,21.74761904761905,28.6,28.25,26.82857142857143,18.8,17.85714285714286,16.35238095238095,74,74.71428571428571,75.85714285714286,9.5,9.5,26,0.6181818181818182,0.6297142857142858,0.5827186147186147,25.9,107.9,192.65,251.95,BG sentinel,urban_area
A_SP_DA_1,2020-07-05T00:00:00Z,2020-07-06T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,27,25.6,31.7,18.4,58.5,0,0.3003636363636363,23.41428571428571,23.19285714285714,21.95238095238095,29.08571428571429,28.38571428571428,27.17142857142857,18.24285714285714,17.81428571428571,16.45238095238095,71.42857142857143,75,75.76190476190476,9.5,9.5,26,0.5714285714285714,0.634909090909091,0.5809870129870129,28.4,108.05,194.55,255.2,BG sentinel,urban_area
A_SP_DA_1,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,27,26.05,31.55,20.8,45.5,0,0.06399999999999996,23.84285714285715,23.27142857142857,22.25714285714286,29.52857142857143,28.44285714285714,27.42857142857143,18.72857142857143,18.07857142857143,16.78571428571428,67.71428571428571,75.21428571428571,74.9047619047619,9.5,9.5,25.4,0.4936103896103896,0.6351168831168831,0.561974025974026,30.8,110.6,198.05,262.65,BG sentinel,urban_area
A_SP_DA_1,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,28,22.35,29.8,14.6,69.5,0,0.5363636363636363,23.72857142857143,23.46428571428572,22.80952380952381,29.95714285714286,28.88571428571428,28.15238095238095,17.44285714285714,18.1,17.08571428571429,59,71.07142857142857,71.80952380952381,8.9,9.5,10.3,0.3351688311688311,0.5597922077922078,0.5385800865800865,24.05,108.35,197.75,269.7,BG sentinel,urban_area
A_SP_DA_1,2020-07-09T00:00:00Z,2020-07-10T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,28,22.45,29.8,16.35,80,0,0.7272727272727272,23.64285714285714,23.53571428571428,23.09047619047619,30.18571428571428,29.26428571428571,28.59047619047619,17.07142857142857,18.03571428571428,17.21428571428572,59,70.21428571428571,71.28571428571429,4,9.5,9.6,0.3351688311688311,0.5442077922077921,0.5556536796536796,25.8,106.15,199.15,274.9,BG sentinel,urban_area
A_SP_DA_1,2020-07-10T00:00:00Z,2020-07-11T00:00:00Z,42.369684,2.83061,0,1,culex,2,2020,7,28,24,30.25,18.25,69.5,0,0.513090909090909,23.75714285714286,23.51428571428571,23.25714285714286,30.55714285714286,29.30714285714286,28.84285714285714,17.05714285714286,17.97142857142857,17.44761904761905,62.42857142857143,70.21428571428571,71.47619047619048,0,9.5,9.5,0.3975064935064934,0.5442077922077921,0.5678961038961039,27.7,105.2,200.9,280.4,BG sentinel,urban_area
A_SP_DA_1,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,28,24.3,30.05,17.95,62.5,0,0.3858181818181818,24.17142857142857,23.73571428571429,23.48095238095238,30.74285714285714,29.67142857142857,29.08095238095238,17.41428571428571,18.10714285714286,17.70952380952381,62.14285714285715,68.07142857142857,70.52380952380952,0,9.5,9.5,0.3856623376623376,0.5019220779220779,0.5483636363636363,27.2,108.45,202.75,287.5,BG sentinel,urban_area
A_SP_DA_1,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,28,24.2,30.05,17.5,62.5,0,0.3916363636363634,23.94285714285715,23.67857142857143,23.44285714285714,30.24285714285714,29.66428571428571,29.00476190476191,17.64285714285714,17.94285714285714,17.75714285714286,62.57142857142857,67,70.85714285714286,0,9.5,9.5,0.3934545454545454,0.4824415584415584,0.5544242424242424,26.75,107.2,202.95,289.45,BG sentinel,urban_area
A_SP_DA_1,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,28,24.55,30.55,17,55,0,0.2552727272727271,23.77142857142857,23.80714285714286,23.43809523809524,30.27142857142857,29.9,29.05238095238095,17.15714285714286,17.94285714285714,17.77142857142857,63.28571428571428,65.5,71.23809523809524,0,9.5,9.5,0.4117402597402596,0.4526753246753246,0.5606580086580086,26.75,109.3,203.8,291.25,BG sentinel,urban_area
A_SP_DA_1,2020-07-14T00:00:00Z,2020-07-15T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,28,23.35,27.9,16.65,54,0,0.2545454545454545,23.51428571428572,23.79285714285714,23.49047619047619,29.95714285714286,30.00714285714286,29.13809523809524,16.55714285714286,17.52857142857143,17.73333333333333,65.28571428571429,63.71428571428572,70.19047619047619,0,9.5,9.5,0.448103896103896,0.4202077922077922,0.5416103896103895,24.55,105.55,202.6,289.35,BG sentinel,urban_area
A_SP_DA_1,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,29,23.15,27.65,19.1,55,0,0.2727272727272727,23.68571428571429,23.70714285714286,23.53809523809524,29.58571428571429,29.77142857142857,29.11904761904762,17.24285714285714,17.34285714285715,17.81428571428571,64.14285714285714,61.57142857142857,68.76190476190476,0,8.9,9.5,0.4273246753246752,0.3812467532467532,0.5156363636363636,26.75,103.05,200.3,289.7,BG sentinel,urban_area
A_SP_DA_1,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,29,23.85,29.8,19.8,53,0,0.2363636363636363,23.74285714285714,23.69285714285714,23.6047619047619,29.34285714285715,29.76428571428571,29.29047619047619,17.84285714285715,17.45714285714286,17.97142857142857,61.14285714285715,60.07142857142857,67.19047619047619,0,4,9.5,0.3727792207792207,0.3539740259740259,0.487064935064935,29.3,106.5,199.7,292.7,BG sentinel,urban_area
A_SP_DA_1,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,29,24.1,30.65,17.7,54.5,0,0.2636363636363636,24.08571428571429,23.92142857142857,23.70476190476191,29.58571428571429,30.07142857142857,29.4,18.22857142857143,17.64285714285714,18.05714285714286,56.42857142857143,59.42857142857143,65.61904761904762,0,0,9.5,0.287064935064935,0.3422857142857142,0.4584935064935065,27.7,108.3,200.65,296.35,BG sentinel,urban_area
A_SP_DA_1,2020-07-18T00:00:00Z,2020-07-19T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,7,29,23,29.45,15.2,66.5,0,0.4818181818181818,23.77142857142857,23.97142857142857,23.74761904761905,29.45714285714286,30.1,29.6,17.68571428571429,17.55,17.96666666666667,56.85714285714285,59.5,64.33333333333333,0,0,9.5,0.3015064935064934,0.3435844155844155,0.435116883116883,24.3,108.4,202,296.3,BG sentinel,urban_area
A_SP_DA_1,2020-07-19T00:00:00Z,2020-07-20T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,7,29,22.85,29.8,15.25,77,0,0.6727272727272727,23.71428571428572,23.82857142857143,23.69047619047619,29.41428571428571,29.82857142857143,29.58095238095238,17.44285714285714,17.54285714285714,17.77619047619048,57.57142857142857,60.07142857142857,63.85714285714285,0,0,9.5,0.3144935064935064,0.3539740259740259,0.4264588744588744,24.35,104.9,199.75,295.5,BG sentinel,urban_area
