"","utm_1x1","rs_ratio","counts","risk"
"58","EG0372",11.9601366742597,24.4034460741175,0.562541505485887
"59","EG0373",3.9433601224646,24.4474495290245,0.180286340312547
"60","EG0374",1.28321011209158,24.3470901954211,0.0528519529439077
"61","EG0375",1.51389086764496,21.4446277221361,0.0552425088785502
"62","EG0376",1.29673826571201,21.5827281053421,0.0464858077910483
"63","EG0377",1.20033463469046,20.6072913296736,0.0401270530289687
"64","EG0378",1.25859649122807,22.5997257260194,0.0473791146437238
"65","EG0379",1.52684014869888,22.6600229457971,0.0594146737122981
"66","EG0380",1.26410160627568,23.9947037254327,0.0510709780388473
"67","EG0381",1.3164588220768,21.417859503555,0.0468937154661112
"68","EG0382",6.07650273224044,23.9807834001499,0.27672691137673
"69","EG0466",5.86271367521368,23.4774146703171,0.260929417566411
"70","EG0467",1.30838139649037,23.2514591603924,0.0512470498895866
"71","EG0468",5.30407523510972,22.8472216844301,0.2287436214582
"72","EG0469",6.13898500576701,22.8531673348326,0.266119460721503
"73","EG0470",5.17540322580645,23.6818610350597,0.231442001254805
"74","EG0471",1.32959905660377,15.8969678791434,0.0330886210212289
"75","EG0472",6.06019070321812,23.4417836120074,0.269573948144815
"76","EG0473",4.6343056160209,24.6334858544376,0.2150066920559
"77","EG0474",1.51557195571956,24.6134135458427,0.0647049919414286
"78","EG0475",1.52208716276312,24.464442896255,0.0645751674496693
"79","EG0476",1.47209302325581,24.2596873906761,0.0615938059891591
"80","EG0477",1.40215758568893,24.4919402072944,0.0589127149096854
"81","EG0478",1.20869369875323,21.5317089566833,0.0426490309574265
"82","EG0479",4.99360550909985,22.65342088752,0.212978983141522
"83","EG0480",5.87750429307384,24.1182045728627,0.268973904196257
"84","EG0481",5.90534262485482,23.8272881099052,0.266927232829891
"85","EG0482",9.47480620155039,23.7173889839532,0.431218883762739
"86","EG0566",1.32053012639588,22.4696128315803,0.0497803707202552
"87","EG0567",1.64542728635682,23.0000417685212,0.0657639624319322
"88","EG0568",1.40881590319793,21.2033685622093,0.0501711890369267
"89","EG0569",3.11822660098522,20.9236840855439,0.11934814960043
"90","EG0570",3.02476515798463,23.1571272774681,0.128735360675343
"91","EG0571",1.59388839681134,23.7172724580592,0.0656814132444353
"92","EG0572",1.58857395925598,24.3522906312422,0.0674077096765325
"93","EG0573",4.78857399910031,24.546665069587,0.221625382733892
"94","EG0574",5.6833956219968,24.4759659305201,0.263794887403829
"95","EG0575",17.4508196721311,26.5710206595985,0.898553895851224
"96","EG0576",1.26734189141444,22.4374992014602,0.0473635618211848
"97","EG0577",1.3326325624854,22.1095628518348,0.0493738386523701
"98","EG0578",1.21754546494338,18.2420597996899,0.0351888628564952
"99","EG0579",1.30838139649037,22.7690115217887,0.0500126031933357
"100","EG0580",4.21510673234811,24.431892525388,0.193150384185038
"101","EG0581",4.29443747386031,23.4683905348587,0.188848967195422
"102","EG0582",17.9964664310954,24.2862719272514,0.84649682381531
"103","EG0666",5.98831385642738,23.3978384109291,0.265764216427968
"104","EG0667",1.32053012639588,22.9283157165673,0.0509649594093024
"105","EG0668",1.32475619786159,17.2129138973865,0.0363473364063262
"106","EG0669",1.24328427937398,18.7214175082764,0.0372726054099998
"107","EG0670",1.32683270676692,18.1554016981194,0.0388628039859852
"108","EG0671",1.39109621828626,17.5057596837503,0.0393771659390856
"109","EG0672",3.06319385140905,22.3698730670913,0.125759638895269
